Twitter Users,Followers,Twitter_Handle,Rank
KATY PERRY,67046274,katyperry,1
Justin Bieber,61687035,justinbieber,2
Barack Obama,56773554,BarackObama,3
Taylor Swift,54704808,taylorswift13,4
YouTube,49502030,YouTube,5
Lady Gaga,45053189,ladygaga,6
Justin Timberlake,42996137,jtimberlake,7
Rihanna,41977201,rihanna,8
Britney Spears,41198461,britneyspears,9
Ellen DeGeneres,40752999,TheEllenShow,10
Instagram,37920744,instagram,11
Twitter,36145031,twitter,12
Cristiano Ronaldo,34176997,Cristiano,13
Jennifer Lopez,31315967,JLo,14
Kim Kardashian West,29988217,KimKardashian,15
Shakira,29738075,shakira,16
Selena Gomez,27659401,selenagomez,17
Demi Lovato,27463542,ddlovato,18
Oprah Winfrey,26913448,Oprah,19
Ariana Grande,26681666,ArianaGrande,20
P!nk,26028805,Pink,21
CNN Breaking News,24982296,cnnbrk,22
Harry Styles.,23936597,Harry_Styles,23
One Direction,22804410,onedirection,24
jimmy fallon,22758509,jimmyfallon,25
Kaka,22299307,KAKA,26
Adele,22239151,OfficialAdele,27
Lil Wayne WEEZY F,22000499,LilTunechi,28
Niall Horan,21671065,NiallOfficial,29
Drizzy,21507044,Drake,30
Alicia Keys,21292699,aliciakeys,31
Bill Gates,20696107,BillGates,32
Bruno Mars,20254271,BrunoMars,33
Pitbull,19641132,pitbull,34
LeBron James,19592730,KingJames,35
Liam,19557472,Real_Liam_Payne,36
Miley Ray Cyrus,19299779,MileyCyrus,37
Marshall Mathers,19208656,Eminem,38
NICKI MINAJ,19030821,NICKIMINAJ,39
Louis Tomlinson,18830718,Louis_Tomlinson,40
Cameron,18549271,wizkhalifa,41
Avril Lavigne,18260248,AvrilLavigne,42
Kevin Hart,17524615,KevinHart4real,43
Neymar Jr,17320526,neymarjr,44
ESPN,17267737,espn,45
David Guetta,17014877,davidguetta,46
Emma Watson,16932864,EmWatson,47
ashton kutcher,16746140,aplusk,48
CNN,16214218,CNN,49
The New York Times,15722648,nytimes,50
daniel tosh,15552727,danieltosh,51
Conan O'Brien,15426235,ConanOBrien,52
Mariah Carey,15390485,MariahCarey,53
SportsCenter,15352150,SportsCenter,54
Real Madrid C.F.-Spanish,15138819,realmadrid,55
Neil Patrick Harris,14593934,ActuallyNPH,56
FC Barcelona,14395050,FCBarcelona,57
Christina Aguilera,14357546,xtina,58
Coldplay,14247413,coldplay,59
zaynmalik1D,14152841,zaynmalik,60
Twitter en español,14151195,twitter_es,61
Chris Brown,14100011,chrisbrown,62
Jim Carrey,13991970,JimCarrey,63
BBC Breaking News,13973718,BBCBreaking,64
Beyoncé Knowles,13942699,Beyonce,65
Facebook,13906228,facebook,66
Kourtney Kardashian,13825776,kourtneykardash,67
Amitabh Bachchan,13644427,SrBachchan,68
Khloé,13456503,khloekardashian,69
NBA,13447039,NBA,70
Ryan Seacrest,13292607,RyanSeacrest,71
Vine,13218559,vine,72
Paris Hilton,13201693,ParisHilton,73
will.i.am,12991874,iamwill,74
Ed Sheeran,12846093,edsheeran,75
AshleyTisdaleFrench,12726197,ashleytisdale,76
AGNEZ MO,12608820,agnezmo,77
Ivete Sangalo,12391014,ivetesangalo,78
Leonardo DiCaprio,12353092,LeoDiCaprio,79
Tyra Banks,12293425,tyrabanks,80
UberSocial,12246144,UberSoc,81
Alejandro Sanz,12184088,AlejandroSanz,82
MTV,12079397,MTV,83
Snoop Dogg,12000552,SnoopDogg,84
Ricky Martin,11825710,ricky_martin,85
Ronaldinho Gaúcho,11768376,10Ronaldinho,86
Shah Rukh Khan,11744828,iamsrk,87
KANYE WEST,11617058,kanyewest,88
Aamir Khan,11602533,aamir_khan,89
Simon Cowell,11575179,SimonCowell,90
Charlie Sheen,11435216,charliesheen,91
د. محمد العريفي,11416405,MohamadAlarefe,92
Blake Shelton,11100699,blakeshelton,93
Salman Khan,10969779,BeingSalmanKhan,94
Wayne Rooney,10882313,WayneRooney,95
Narendra Modi,10858014,narendramodi,96
Claudia Leitte,10724842,ClaudiaLeitte,97
Carly Rae Jepsen,10699555,carlyraejepsen,98
Samsung Mobile,10569403,SamsungMobile,99
Dalai Lama,10553857,DalaiLama,100
Andrés Iniesta,10532628,andresiniesta8,101
Google,10472043,google,102
NFL,10452240,nfl,103
Zac Efron,10424289,ZacEfron,104
Diddy,10324190,iamdiddy,105
Luciano Huck,10301314,LucianoHuck,106
Maroon 5,10286908,maroon5,107
Gerard Piqué,10285706,3gerardpique,108
JUANES,10260693,juanes,109
Ludacris,10220787,Ludacris,110
Usher Raymond IV,10136191,Usher,111
